query_image_path,utm_east,utm_north,reference_1_path,reference_1_distance,reference_1_utm_east,reference_1_utm_north,reference_2_path,reference_2_distance,reference_2_utm_east,reference_2_utm_north,reference_3_path,reference_3_distance,reference_3_utm_east,reference_3_utm_north
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543827.12@4177506.73@10@S@037.74380@-122.50254@48834782946@@@@@@20191003@@.jpg,543827.12,4177506.73,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543820.18@4177520.57@10@S@037.74393@-122.50262@vzkbnW_yPItgZLzimNdSsQ@@295@@@@201311@@.jpg,15.482545010272045,543820.18,4177520.57,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543821.12@4177508.37@10@S@037.74382@-122.50261@S_UxyRgS1caaXrA4M5SPOA@@296@@@@201311@@.jpg,6.220096462308898,543821.12,4177508.37,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543819.26@4177527.22@10@S@037.74399@-122.50263@Boh6xTIc61vbgLFTU9CqWw@@295@@@@201311@@.jpg,21.94583559605193,543819.26,4177527.22
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543959.64@4178760.86@10@S@037.75510@-122.50096@14470330345@@@@@@20140621@@.jpg,543959.64,4178760.86,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543948.39@4178756.14@10@S@037.75506@-122.50109@K7HEtV50atveXLzP4f64YQ@@356@@@@201311@@.jpg,12.200036885089254,543948.39,4178756.14,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543958.96@4178756.19@10@S@037.75506@-122.50097@vhV7pUoaE3IMdRyJeW6eqA@@296@@@@201311@@.jpg,4.719247821356046,543958.96,4178756.19,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543948.39@4178756.14@10@S@037.75506@-122.50109@K7HEtV50atveXLzP4f64YQ@@326@@@@201311@@.jpg,12.200036885089254,543948.39,4178756.14
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543961.04@4179373.65@10@S@037.76062@-122.50090@14150964956@@@@@@20140513@@.jpg,543961.04,4179373.65,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543968.01@4179372.03@10@S@037.76061@-122.50083@RPoG6f4lNaRFG9h6CoVlgQ@@57@@@@201311@@.jpg,7.155787867172463,543968.01,4179372.03,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543963.60@4179372.00@10@S@037.76061@-122.50088@rPOMQiBiv5qCq-dybQBMSw@@56@@@@201311@@.jpg,3.045669056116032,543963.6,4179372.0,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543974.17@4179372.06@10@S@037.76061@-122.50076@wjhWcfmwIw84MtOrY_TdTg@@57@@@@201311@@.jpg,13.22592151797554,543974.17,4179372.06
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544233.75@4181047.60@10@S@037.77569@-122.49771@3522221461@@@@@@20090511@@.jpg,544233.75,4181047.6,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544224.14@4181048.77@10@S@037.77571@-122.49782@7rr8Gk6WaazY0c77yz0a-g@@296@@@@201311@@.jpg,9.680960696106412,544224.14,4181048.77,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544219.74@4181048.75@10@S@037.77571@-122.49787@6x7IwRhjEdtsC_vNZiNjsQ@@297@@@@201311@@.jpg,14.057119192780815,544219.74,4181048.75,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544224.14@4181048.77@10@S@037.77571@-122.49782@7rr8Gk6WaazY0c77yz0a-g@@266@@@@201311@@.jpg,9.680960696106412,544224.14,4181048.77
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544262.20@4179390.58@10@S@037.76076@-122.49748@13987545797@@@@@@20140513@@.jpg,544262.2,4179390.58,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544256.84@4179389.10@10@S@037.76075@-122.49755@hvafoPwy8Ag0P_UjNgrBNA@@56@@@@201311@@.jpg,5.560575509764714,544256.84,4179389.1,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544252.43@4179389.08@10@S@037.76075@-122.49760@MMDpnet3CqxoFWVctgq4Yw@@56@@@@201311@@.jpg,9.884477730163049,544252.43,4179389.08,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544270.03@4179392.50@10@S@037.76078@-122.49740@H6jzegJVARCOuWZFRvBJWA@@55@@@@201311@@.jpg,8.061966261457602,544270.03,4179392.5
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544695.90@4178600.28@10@S@037.75361@-122.49261@13987708619@@@@@@20140513@@.jpg,544695.9,4178600.28,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544700.64@4178604.85@10@S@037.75366@-122.49256@obKuFSqfogIE3ZAf1_FjJQ@@144@@@@201311@@.jpg,6.584261538140449,544700.64,4178604.85,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544694.52@4178594.83@10@S@037.75357@-122.49263@_EkGXd9c_B-aw5_QddlXiQ@@147@@@@201311@@.jpg,5.62200142271126,544694.52,4178594.83,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544699.69@4178617.05@10@S@037.75377@-122.49257@4nJ8cmxuRD2mWxS0pCrk2A@@145@@@@201311@@.jpg,17.19293459535122,544699.69,4178617.05
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544737.08@4172856.66@10@S@037.70185@-122.49250@14409889945@@@@@@20140613@@.jpg,544737.08,4172856.66,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544744.14@4172854.48@10@S@037.70183@-122.49242@3D4bNTdeygstOr6-g6xEOA@@219@@@@201312@@.jpg,7.388910609928903,544744.14,4172854.48,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544745.93@4172850.05@10@S@037.70179@-122.49240@R8PXlhxMoFHD2GeaFu4zRw@@249@@@@201312@@.jpg,11.046021908636646,544745.93,4172850.05,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544742.35@4172860.02@10@S@037.70188@-122.49244@6SdH6Cu4aMmj2KVaonpxpg@@219@@@@201312@@.jpg,6.249999999945612,544742.35,4172860.02
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544740.44@4178007.26@10@S@037.74827@-122.49214@50742296586@@@@@@20201221@@.jpg,544740.44,4178007.26,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544737.38@4178002.58@10@S@037.74823@-122.49218@NmFgO7KsWerFwo5sfd1SIA@@56@@@@201311@@.jpg,5.591600843840699,544737.38,4178002.58,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0548165.01@4176707.11@10@S@037.73638@-122.45336@72KEoJPzcDFB7iLtYFSaQA@@53@@@@201311@@.jpg,3663.068345990858,548165.01,4176707.11,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0546759.57@4172974.38@10@S@037.70281@-122.46955@z8VsnrJW69nRJcWI8_Rjjw@@239@@@@201312@@.jpg,5422.800664905441,546759.57,4172974.38
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544771.31@4179070.57@10@S@037.75785@-122.49172@5080112643@@@@@@20101014@@.jpg,544771.31,4179070.57,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544766.83@4179068.99@10@S@037.75784@-122.49178@M9e5HJ09lfEcKNInQs9wLA@@86@@@@201311@@.jpg,4.750452609977299,544766.83,4179068.99,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544766.83@4179068.99@10@S@037.75784@-122.49178@M9e5HJ09lfEcKNInQs9wLA@@56@@@@201311@@.jpg,4.750452609977299,544766.83,4179068.99,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544767.76@4179060.12@10@S@037.75776@-122.49177@a40g48lJUBmDOuhhzRB_MA@@28@@@@201311@@.jpg,11.03653025160042,544767.76,4179060.12
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544782.84@4181875.94@10@S@037.78313@-122.49142@50207939302@@@@@@20200809@@.jpg,544782.84,4181875.94,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544784.15@4181877.28@10@S@037.78315@-122.49141@X26yNVio982xDFX3Jgal8w@@205@@@@201312@@.jpg,1.873953040966356,544784.15,4181877.28,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0548707.78@4179988.94@10@S@037.76593@-122.44698@R3DeoE4k8xivaLrAtmqZCA@@230@@@@201312@@.jpg,4354.988289720246,548707.78,4179988.94,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0550133.18@4178932.34@10@S@037.75633@-122.43087@-zRj73Gp5IlquaH1UCicrA@@325@@@@201311@@.jpg,6106.629109058568,550133.18,4178932.34
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544788.24@4181999.02@10@S@037.78424@-122.49135@50207765626@@@@@@20200809@@.jpg,544788.24,4181999.02,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544796.69@4182000.51@10@S@037.78426@-122.49126@FAYe_UMH9hM8RwBt16rF4w@@132@@@@201312@@.jpg,8.580361297666402,544796.69,4182000.51,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544796.69@4182000.51@10@S@037.78426@-122.49126@FAYe_UMH9hM8RwBt16rF4w@@162@@@@201312@@.jpg,8.580361297666402,544796.69,4182000.51,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544785.27@4181996.01@10@S@037.78422@-122.49139@Yo2nvmQWl_1z0nemDeRl_g@@112@@@@201312@@.jpg,4.228593146815114,544785.27,4181996.01
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544803.80@4176885.11@10@S@037.73815@-122.49149@20968659164@@@@@@20150921@@.jpg,544803.8,4176885.11,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544798.97@4176881.20@10@S@037.73812@-122.49155@GXqLAvM6fc2jOqSIK2Zl9g@@236@@@@201311@@.jpg,6.21425779946757,544798.97,4176881.2,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543612.71@4177765.78@10@S@037.74615@-122.50496@pZhaISyaPebcnXyGivHwxw@@235@@@@201311@@.jpg,1481.308555635884,543612.71,4177765.78,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0548462.52@4177360.14@10@S@037.74225@-122.44994@Ij2cWNCO7_dyUKjyYhLGbA@@331@@@@201311@@.jpg,3689.428890668587,548462.52,4177360.14
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544898.76@4176614.46@10@S@037.73571@-122.49043@21718820975@@@@@@20150926@@.jpg,544898.76,4176614.46,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544901.74@4176617.69@10@S@037.73574@-122.49040@Wu1mwuPJ3X28PuGmhwVCiA@@31@@@@201311@@.jpg,4.394689977662663,544901.74,4176617.69,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544901.74@4176617.69@10@S@037.73574@-122.49040@Wu1mwuPJ3X28PuGmhwVCiA@@1@@@@201311@@.jpg,4.394689977662663,544901.74,4176617.69,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544898.18@4176623.22@10@S@037.73579@-122.49044@nV0BJDWvsaHo7y_P7UXKfA@@60@@@@201311@@.jpg,8.779179916381356,544898.18,4176623.22
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544898.92@4176859.77@10@S@037.73792@-122.49041@20958226424@@@@@@20150920@@.jpg,544898.92,4176859.77,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544898.60@4176869.53@10@S@037.73801@-122.49042@Nzd8vvAOZqaLJdUvNrZxQQ@@266@@@@201311@@.jpg,9.7652444923657,544898.6,4176869.53,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544896.90@4176859.54@10@S@037.73792@-122.49044@jGOCQ5NN7Gt9Cq9D-mgdqA@@288@@@@201311@@.jpg,2.033051893107179,544896.9,4176859.54,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544898.60@4176869.53@10@S@037.73801@-122.49042@Nzd8vvAOZqaLJdUvNrZxQQ@@236@@@@201311@@.jpg,9.7652444923657,544898.6,4176869.53
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544920.70@4182286.66@10@S@037.78683@-122.48983@11676522175@@@@@@20140101@@.jpg,544920.7,4182286.66,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544914.91@4182281.86@10@S@037.78679@-122.48990@Quxctp6bEH7ZZhTC8T59oA@@116@@@@201312@@.jpg,7.520910849210055,544914.91,4182281.86,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544919.27@4182290.76@10@S@037.78687@-122.48985@unL8CGqFT5C1wlGpBBZESQ@@138@@@@201312@@.jpg,4.342222932641622,544919.27,4182290.76,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544903.56@4182265.16@10@S@037.78664@-122.49003@ZCf1Hse5EG04-aDJCzzRIA@@71@@@@201312@@.jpg,27.49599243519841,544903.56,4182265.16
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0544935.15@4182414.67@10@S@037.78798@-122.48966@8355088905@@@@@@20130107@@.jpg,544935.15,4182414.67,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0549249.74@4184066.37@10@S@037.80265@-122.44055@hUSqn_2GrEQl6oTFbog3NA@@165@@@@201311@@.jpg,4619.935038298735,549249.74,4184066.37,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0549388.37@4176652.21@10@S@037.73582@-122.43948@eySUXZNH4KblL9_hNuZg9Q@@194@@@@201303@@.jpg,7282.658417089141,549388.37,4176652.21,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0546126.06@4178435.18@10@S@037.75206@-122.47639@gzDpvBfum7cV44vJV_9qMQ@@236@@@@201311@@.jpg,4153.866546748722,546126.06,4178435.18
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0545038.46@4178608.35@10@S@037.75367@-122.48872@13987859607@@@@@@20140513@@.jpg,545038.46,4178608.35,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0545042.39@4178614.48@10@S@037.75373@-122.48868@YRj9xi4hfIVWus4F4cm75g@@55@@@@201311@@.jpg,7.281606965432318,545042.39,4178614.48,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0545037.10@4178614.45@10@S@037.75373@-122.48874@IUKtLzJSALw7ApAShqxuEw@@85@@@@201311@@.jpg,6.249767995781781,545037.1,4178614.45,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0545042.39@4178614.48@10@S@037.75373@-122.48868@YRj9xi4hfIVWus4F4cm75g@@85@@@@201311@@.jpg,7.281606965432318,545042.39,4178614.48
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0545046.07@4178197.54@10@S@037.74997@-122.48866@51248717637@@@@@@20210615@@.jpg,545046.07,4178197.54,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0545045.56@4178195.10@10@S@037.74995@-122.48867@2FURhzD_zlJH3O9OSaUyUg@@146@@@@201311@@.jpg,2.492729427679239,545045.56,4178195.1,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0545055.25@4178195.15@10@S@037.74995@-122.48856@DfbRgVTwsG1KsvGF_IS1xQ@@176@@@@201311@@.jpg,9.486016023682634,545055.25,4178195.15,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0553085.81@4176500.98@10@S@037.73425@-122.39753@e6ZMxf7B8r-MUgbGOYHtyg@@69@@@@201311@@.jpg,8216.79591454004,553085.81,4176500.98
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0545100.66@4179798.32@10@S@037.76439@-122.48794@51190737349@@@@@@20210519@@.jpg,545100.66,4179798.32,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0548790.94@4179927.30@10@S@037.76537@-122.44604@twm13OD1lVVzOj71ZHIsgg@@230@@@@201311@@.jpg,3692.533319930824,548790.94,4179927.3,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543875.68@4179672.21@10@S@037.76332@-122.50186@VN_R1m1j9ZgXduAbYK5UiQ@@236@@@@201311@@.jpg,1231.4543160425894,543875.68,4179672.21,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0550077.96@4182941.86@10@S@037.79247@-122.43122@P1JQxY7HJQg2ZiE1VrwHPw@@51@@@@201311@@.jpg,5886.880245223232,550077.96,4182941.86
